,CODIGO,PERIODO_ACADEMICO,NUM_CREDITOS,GPA,real_GPA
124,11312504,201420,48.0,206.99999999999997,4.31
125,11312504,201510,12.0,45.6,3.8
126,11312504,201520,8.0,26.299999999999997,3.29
127,11312504,201610,7.0,25.9,3.7
128,11312504,201620,21.0,72.6,3.46
129,11312506,201220,15.0,53.300000000000004,3.55
130,11312506,201310,14.0,50.5,3.61
131,11312506,201320,12.0,41.400000000000006,3.45
132,11312506,201410,14.0,53.2,3.8
133,11312506,201420,14.0,51.0,3.64
134,11312506,201510,12.0,46.60000000000001,3.88
135,11312506,201520,16.0,60.9,3.81
136,11312506,201610,11.0,44.8,4.07
137,11312506,201620,13.0,53.900000000000006,4.15
138,11312506,201710,20.0,73.1,3.66
139,11312509,201220,15.0,46.7,3.11
140,11312509,201310,12.0,42.2,3.52
141,11312509,201320,15.0,42.6,2.84
142,11312511,201220,21.0,23.3,1.11
143,11312514,201220,15.0,54.099999999999994,3.61
144,11312514,201310,14.0,49.9,3.56
145,11312514,201320,16.0,52.9,3.31
146,11312514,201410,12.0,38.800000000000004,3.23
147,11312514,201510,16.0,53.7,3.36
148,11312514,201520,10.0,31.400000000000002,3.14
149,11312514,201610,13.0,39.6,3.05
150,11312514,201620,11.0,38.099999999999994,3.46
151,11312514,201710,10.0,26.500000000000004,2.65
152,11312514,201720,6.0,16.2,2.7
153,11312515,201220,22.0,72.10000000000001,3.28
154,11312518,201220,46.0,162.19999999999996,3.53
155,11312518,201310,10.0,21.4,2.14
156,11312518,201320,5.0,9.3,1.86
157,11312518,201410,18.0,65.3,3.63
158,11312518,201420,14.0,23.200000000000003,1.66
159,11312518,201510,4.0,6.6,1.65
160,11312518,201520,9.0,17.400000000000002,1.93
161,11312518,201610,5.0,12.399999999999999,2.48
162,11312519,201220,13.0,2.0,0.15
163,11312520,201220,15.0,50.900000000000006,3.39
164,11312521,201220,14.0,46.5,3.32
165,11312521,201310,14.0,42.300000000000004,3.02
166,11312521,201420,15.0,47.800000000000004,3.19
167,11312521,201510,8.0,29.0,3.62
168,11312521,201520,12.0,41.6,3.47
169,11312521,201610,16.0,45.6,2.85
170,11312521,201620,13.0,35.400000000000006,2.72
171,11312521,201710,16.0,52.5,3.28
172,11312521,201720,10.0,30.8,3.08
173,11312521,201810,9.0,29.8,3.31
174,11312521,201820,13.0,44.1,3.39
175,11312521,201910,13.0,32.4,2.49
176,11312521,202020,6.0,14.1,2.35
177,11313001,201310,13.0,49.0,3.77
178,11313001,201320,24.0,93.79999999999998,3.91
179,11313001,201410,18.0,59.5,3.31
180,11313001,201411,3.0,9.3,3.1
181,11313001,201420,17.0,59.5,3.5
182,11313001,201510,17.0,61.50000000000001,3.62
183,11313001,201520,15.0,55.10000000000001,3.67
184,11313001,201610,14.0,40.5,2.89
185,11313001,201620,14.0,52.8,3.77
186,11313001,201710,7.0,27.5,3.93
187,11313001,201720,12.0,33.6,2.8
188,11313005,201310,15.0,60.7,4.05
189,11313005,201320,64.0,274.9,4.3
190,11313005,201410,6.0,18.6,3.1
191,11313006,201310,15.0,43.3,2.89
192,11313007,201310,15.0,59.60000000000001,3.97
193,11313007,201320,14.0,49.199999999999996,3.51
194,11313007,201410,13.0,46.6,3.58
195,11313007,201420,14.0,48.4,3.46
196,11313007,201510,15.0,55.50000000000001,3.7
197,11313007,201520,17.0,59.2,3.48
198,11313007,201610,14.0,54.9,3.92
199,11313007,201620,13.0,53.3,4.1
200,11313007,201710,18.0,53.29999999999999,2.96
201,11313007,201720,4.0,12.4,3.1
202,11313007,201810,8.0,40.0,5.0
203,11313008,201320,22.0,32.699999999999996,1.49
204,11313009,201310,15.0,59.599999999999994,3.97
205,11313009,201320,14.0,54.400000000000006,3.89
206,11313009,201410,15.0,60.3,4.02
207,11313009,201420,14.0,51.199999999999996,3.66
208,11313009,201510,16.0,69.0,4.31
209,11313009,201520,16.0,65.89999999999999,4.12
210,11313009,201610,14.0,59.3,4.24
211,11313009,201620,13.0,57.4,4.42
212,11313009,201710,22.0,79.0,3.59
213,11313011,201310,14.0,51.1,3.65
214,11313011,201320,13.0,47.7,3.67
215,11313011,201410,15.0,54.6,3.64
216,11313011,201420,7.0,24.5,3.5
217,11313011,201510,7.0,27.8,3.97
218,11313011,201520,16.0,54.7,3.42
219,11313011,201610,6.0,22.0,3.67
220,11313011,201620,16.0,61.099999999999994,3.82
221,11313011,201710,10.0,40.8,4.08
222,11313011,201720,12.0,49.6,4.13
223,11313011,201810,16.0,50.099999999999994,3.13
224,11313011,201820,10.0,45.199999999999996,4.52
225,11313012,201310,15.0,29.6,1.97
226,11313013,201310,15.0,63.400000000000006,4.23
227,11313016,201310,15.0,59.39999999999999,3.96
228,11313016,201320,48.0,205.4,4.28
229,11313016,201420,17.0,67.6,3.98
230,11313016,201510,14.0,57.800000000000004,4.13
231,11313016,201520,14.0,57.699999999999996,4.12
232,11313016,201610,14.0,59.10000000000001,4.22
233,11313016,201620,9.0,19.9,2.21
234,11313016,201710,8.0,33.6,4.2
235,11313017,201310,16.0,53.6,3.35
236,11313017,201320,5.0,18.7,3.74
237,11313017,201410,12.0,44.1,3.68
238,11313017,201420,9.0,14.700000000000001,1.63
239,11313017,201510,8.0,0.6000000000000001,0.08
240,11313017,201520,4.0,13.4,3.35
241,11313017,201610,14.0,24.599999999999994,1.76
242,11313018,201310,15.0,46.699999999999996,3.11
243,11313018,201320,32.0,115.69999999999997,3.62
244,11313018,201410,16.0,56.1,3.51
245,11313018,201420,18.0,57.10000000000001,3.17
246,11313018,201510,11.0,40.9,3.72
247,11313018,201520,8.0,22.3,2.79
248,11313018,201620,7.0,29.7,4.24
249,11313501,201320,15.0,49.7,3.31
250,11313501,201410,14.0,39.3,2.81
251,11313501,201420,12.0,34.5,2.88
252,11313501,201510,4.0,12.8,3.2
253,11313501,201520,16.0,52.300000000000004,3.27
254,11313501,201610,16.0,51.0,3.19
255,11313501,201620,15.0,43.1,2.87
256,11313501,201710,13.0,38.1,2.93
257,11313501,201720,4.0,14.0,3.5
258,11313501,201810,13.0,44.699999999999996,3.44
259,11313501,201820,16.0,54.7,3.42
260,11313501,201910,14.0,52.699999999999996,3.76
261,11313501,201920,11.0,39.4,3.58
262,11313501,202010,15.0,52.3,3.49
263,11313502,201320,27.0,110.9,4.11
264,11313502,201410,20.0,77.3,3.86
265,11313502,201420,29.0,118.60000000000001,4.09
266,11313502,201510,6.0,19.6,3.27
267,11313502,201610,14.0,55.599999999999994,3.97
268,11313502,201620,15.0,55.4,3.69
269,11313502,201710,10.0,41.5,4.15
270,11313502,201720,7.0,25.6,3.66
271,11313502,201810,11.0,12.0,1.09
272,11313503,201320,52.0,205.1,3.94
273,11313503,201410,19.0,71.69999999999999,3.77
274,11313503,201420,13.0,47.199999999999996,3.63
275,11313503,201510,12.0,47.4,3.95
276,11313503,201520,14.0,50.2,3.59
277,11313503,201610,14.0,40.6,2.9
278,11313503,201620,6.0,23.7,3.95
279,11313503,201710,11.0,48.400000000000006,4.4
280,11313504,201320,15.0,59.7,3.98
281,11313504,201410,14.0,55.5,3.96
282,11313504,201420,15.0,62.5,4.17
283,11313504,201510,14.0,52.3,3.74
284,11313504,201520,13.0,48.1,3.7
285,11313504,201610,16.0,64.7,4.04
286,11313504,201620,14.0,57.49999999999999,4.11
287,11313504,201710,14.0,55.8,3.99
288,11313504,201720,9.0,22.1,2.46
289,11313504,201810,17.0,75.7,4.45
290,11313505,201320,15.0,46.5,3.1
291,11313505,201410,14.0,41.5,2.96
292,11313505,201420,12.0,42.699999999999996,3.56
293,11313505,201510,10.0,23.2,2.32
294,11313505,201520,12.0,28.200000000000003,2.35
295,11313505,201610,5.0,13.600000000000001,2.72
296,11313505,201620,4.0,13.399999999999999,3.35
297,11313505,201710,9.0,25.700000000000003,2.86
298,11313506,201320,15.0,59.300000000000004,3.95
299,11313511,201320,20.0,63.89999999999999,3.19
300,11313511,201410,15.0,33.1,2.21
301,11313511,201420,14.0,0.0,0.0
302,11313512,201320,17.0,60.60000000000001,3.56
303,11313512,201410,22.0,68.7,3.12
304,11313512,201420,5.0,19.6,3.92
305,11313512,201510,11.0,29.4,2.67
306,11313512,201520,14.0,23.199999999999996,1.66
307,11313512,201610,4.0,2.2,0.55
308,11313512,201620,4.0,0.0,0.0
309,11313514,201320,15.0,44.199999999999996,2.95
310,11314001,201410,22.0,26.799999999999997,1.22
311,11314002,201410,15.0,58.9,3.93
312,11314002,201420,14.0,51.7,3.69
313,11314002,201510,15.0,58.099999999999994,3.87
314,11314002,201520,14.0,49.4,3.53
315,11314002,201610,16.0,60.199999999999996,3.76
316,11314002,201620,16.0,63.800000000000004,3.99
317,11314002,201710,14.0,56.800000000000004,4.06
318,11314002,201720,13.0,58.7,4.52
319,11314002,201810,10.0,41.39999999999999,4.14
320,11314002,201820,12.0,36.8,3.07
321,11314003,201410,15.0,13.700000000000001,0.91
322,11314005,201410,24.0,83.80000000000001,3.49
323,11314005,201420,14.0,35.0,2.5
324,11314005,201510,13.0,48.99999999999999,3.77
325,11314005,201520,13.0,36.9,2.84
326,11314005,201610,13.0,28.200000000000003,2.17
327,11314005,201620,5.0,3.2,0.64
328,11314006,201410,11.0,21.799999999999997,1.98
329,11314008,201410,13.0,40.099999999999994,3.08
330,11314008,201420,12.0,34.5,2.88
331,11314009,201410,31.0,105.9,3.42
332,11314009,201420,14.0,35.5,2.54
333,11314010,201410,15.0,46.900000000000006,3.13
334,11314010,201420,12.0,34.0,2.83
335,11314010,201510,14.0,37.6,2.69
336,11314010,201520,17.0,55.099999999999994,3.24
337,11314012,201410,27.0,102.6,3.8
338,11314012,201420,13.0,49.7,3.82
339,11314012,201510,18.0,73.3,4.07
340,11314012,201610,14.0,56.0,4.0
341,11314012,201620,17.0,62.99999999999999,3.71
342,11314012,201710,11.0,43.1,3.92
343,11314012,201720,12.0,49.2,4.1
344,11314012,201810,15.0,58.8,3.92
345,11314012,201820,14.0,42.6,3.04
346,11314501,201420,15.0,52.5,3.5
347,11314501,201510,14.0,48.900000000000006,3.49
348,11314501,201520,15.0,56.5,3.77
349,11314501,201610,14.0,49.4,3.53
350,11314501,201620,16.0,59.3,3.71
351,11314501,201710,15.0,57.1,3.81
352,11314501,201720,12.0,43.400000000000006,3.62
353,11314501,201810,12.0,45.8,3.82
354,11314501,201820,14.0,41.9,2.99
355,11314501,201910,14.0,65.1,4.65
356,11314502,201420,15.0,53.900000000000006,3.59
357,11314502,201510,14.0,54.5,3.89
358,11314502,201520,15.0,63.400000000000006,4.23
359,11314502,201610,16.0,66.30000000000001,4.14
360,11314502,201620,13.0,53.699999999999996,4.13
361,11314502,201710,19.0,73.2,3.85
362,11314502,201720,15.0,60.49999999999999,4.03
363,11314502,201810,12.0,50.099999999999994,4.18
364,11314502,201820,20.0,35.1,1.76
365,11314502,201920,8.0,39.2,4.9
366,11314503,201420,15.0,48.1,3.21
367,11314503,201510,11.0,29.2,2.65
368,11314503,201520,4.0,10.600000000000001,2.65
369,11314503,201610,4.0,11.2,2.8
370,11314504,201420,11.0,33.699999999999996,3.06
371,11314504,201510,5.0,8.5,1.7
372,11314504,201520,10.0,22.000000000000004,2.2
373,11314506,201420,15.0,59.4,3.96
374,11314506,201510,14.0,57.6,4.11
375,11314506,201520,15.0,65.8,4.39
376,11314506,201610,16.0,69.30000000000001,4.33
377,11314506,201620,13.0,53.3,4.1
378,11314506,201710,19.0,77.2,4.06
379,11314506,201720,15.0,61.1,4.07
380,11314506,201810,12.0,53.2,4.43
381,11314506,201820,20.0,70.6,3.53
382,11315001,201510,15.0,19.700000000000003,1.31
383,11315004,201510,12.0,42.99999999999999,3.58
384,11315004,201520,14.0,51.3,3.66
385,11315004,201610,10.0,42.7,4.27
386,11315004,201620,15.0,41.0,2.73
387,11315005,201510,11.0,37.800000000000004,3.44
388,11315005,201520,15.0,49.300000000000004,3.29
389,11315005,201610,9.0,29.5,3.28
390,11315005,201620,8.0,33.8,4.22
391,11315005,201710,6.0,23.099999999999998,3.85
392,11315005,201720,10.0,36.2,3.62
393,11315005,201810,15.0,56.900000000000006,3.79
394,11315005,201820,11.0,41.50000000000001,3.77
395,11315005,201910,13.0,51.400000000000006,3.95
396,11315005,201920,17.0,62.00000000000001,3.65
397,11315005,202010,14.0,43.900000000000006,3.14
398,11315005,202020,17.0,38.1,2.24
399,11315006,201510,15.0,42.6,2.84
400,11315006,201520,14.0,0.0,0.0
401,11315007,201510,15.0,18.799999999999997,1.25
402,11315011,201510,15.0,45.4,3.03
403,11315502,201520,65.0,278.4,4.28
404,11315502,201610,16.0,58.300000000000004,3.64
405,11315502,201620,16.0,52.2,3.26
406,11315502,201710,16.0,50.10000000000001,3.13
407,11315502,201720,16.0,47.300000000000004,2.96
408,11315502,201810,7.0,22.0,3.14
409,11315502,201820,14.0,34.0,2.43
