CODIGO,FECHA_SOLICITUD,TIPO
77209002,2012-05-23,reingreso
77209027,2012-05-23,reingreso
77209028,2012-05-23,reingreso
66410020,2012-05-24,reingreso
88107024,2012-05-25,reingreso
55211013,2012-05-28,reingreso
55211014,2012-05-28,reingreso
55509003,2012-05-28,reingreso
55509033,2012-05-28,reingreso
55510068,2012-05-28,reingreso
66308514,2012-05-28,reingreso
66408544,2012-05-28,reingreso
66410010,2012-05-28,aplazamiento
66410508,2012-05-28,aplazamiento
66411003,2012-05-28,aplazamiento
88110514,2012-05-28,reingreso
11409036,2012-05-29,reingreso
33106510,2012-05-29,reingreso
66405059,2012-05-29,reingreso
66511012,2012-05-29,aplazamiento
88110014,2012-05-29,reingreso
66107507,2012-05-30,reingreso
66111520,2012-05-30,aplazamiento
66211507,2012-05-30,aplazamiento
66409503,2012-05-30,reingreso
66411595,2012-05-30,reingreso
77207014,2012-05-30,reingreso
77207512,2012-05-30,reingreso
77209028,2012-05-30,reingreso
77211005,2012-05-30,reingreso
77311007,2012-05-30,reingreso
66409087,2012-05-31,reingreso
66410505,2012-06-03,reingreso
66106028,2012-06-04,reingreso
66311504,2012-06-04,reingreso
66311509,2012-06-04,aplazamiento
66410051,2012-06-04,reingreso
11291561,2012-06-05,reingreso
11311501,2012-06-05,reingreso
11410026,2012-06-05,reingreso
11609508,2012-06-05,aplazamiento
11704017,2012-06-05,reingreso
11705518,2012-06-05,reingreso
11707030,2012-06-05,reingreso
11710512,2012-06-05,aplazamiento
55105505,2012-06-05,reingreso
55110511,2012-06-05,reingreso
55110513,2012-06-05,reingreso
55311522,2012-06-05,aplazamiento
55312032,2012-06-05,aplazamiento
55611002,2012-06-05,reingreso
55711041,2012-06-05,reingreso
66112008,2012-06-05,aplazamiento
66407513,2012-06-05,reingreso
66411110,2012-06-05,reingreso
91607512,2012-06-05,reingreso
66311501,2012-06-06,aplazamiento
66505519,2012-06-06,aplazamiento
66508528,2012-06-06,aplazamiento
66511016,2012-06-06,aplazamiento
77207010,2012-06-06,reingreso
77211008,2012-06-06,reingreso
77311004,2012-06-06,reingreso
66110014,2012-06-07,reingreso
66410001,2012-06-07,aplazamiento
66510522,2012-06-07,aplazamiento
11311502,2012-06-12,reingreso
11710524,2012-06-12,reingreso
11712017,2012-06-12,reingreso
55111004,2012-06-12,aplazamiento
55111511,2012-06-12,reingreso
66211016,2012-06-12,reingreso
66408534,2012-06-12,aplazamiento
66411030,2012-06-12,aplazamiento
99311004,2012-06-12,reingreso
66412080,2012-06-13,aplazamiento
66510017,2012-06-13,aplazamiento
77200517,2012-06-13,reingreso
77208515,2012-06-13,reingreso
66412091,2012-06-14,aplazamiento
98706010,2012-06-14,reingreso
66111516,2012-06-15,aplazamiento
11608002,2012-06-19,reingreso
11707033,2012-06-19,reingreso
11710029,2012-06-19,reingreso
55110007,2012-06-19,reingreso
55210019,2012-06-19,aplazamiento
66109509,2012-06-19,aplazamiento
33110009,2012-06-20,reingreso
33110502,2012-06-20,reingreso
33195691,2012-06-20,reingreso
33208010,2012-06-20,reingreso
33211007,2012-06-20,reingreso
33211010,2012-06-20,reingreso
33311069,2012-06-20,reingreso
77200513,2012-06-20,reingreso
77207011,2012-06-20,reingreso
66110508,2012-06-22,aplazamiento
66211514,2012-06-22,aplazamiento
66303519,2012-06-22,reingreso
66308002,2012-06-22,reingreso
66409082,2012-06-22,reingreso
66410046,2012-06-22,reingreso
66410072,2012-06-22,aplazamiento
66505009,2012-06-22,aplazamiento
66508509,2012-06-22,reingreso
55309027,2012-06-25,reingreso
55611018,2012-06-25,reingreso
11100021,2012-06-26,reingreso
11494516,2012-06-26,reingreso
11705522,2012-06-26,reingreso
66111024,2012-06-26,aplazamiento
66112005,2012-06-26,reingreso
66510526,2012-06-26,reingreso
66511509,2012-06-26,reingreso
77109502,2012-06-27,aplazamiento
77210515,2012-06-27,reingreso
77211501,2012-06-27,reingreso
77211510,2012-06-27,aplazamiento
77212010,2012-06-27,aplazamiento
66109508,2012-06-28,aplazamiento
66307015,2012-06-28,aplazamiento
66407014,2012-06-28,aplazamiento
66407528,2012-06-28,aplazamiento
66408557,2012-06-28,aplazamiento
66410536,2012-06-28,aplazamiento
66407006,2012-06-29,aplazamiento
66409060,2012-06-29,aplazamiento
66409517,2012-06-29,aplazamiento
66411537,2012-06-29,aplazamiento
55310524,2012-07-03,aplazamiento
55511061,2012-07-03,reingreso
77108504,2012-07-04,reingreso
77108515,2012-07-04,aplazamiento
77207019,2012-07-04,reingreso
77208007,2012-07-04,reingreso
77209507,2012-07-04,reingreso
66311005,2012-07-06,aplazamiento
66409020,2012-07-06,aplazamiento
66409103,2012-07-06,aplazamiento
66406026,2012-07-09,aplazamiento
66406559,2012-07-09,aplazamiento
66406566,2012-07-09,aplazamiento
66409089,2012-07-09,reingreso
11411511,2012-07-10,reingreso
11703043,2012-07-10,reingreso
11708519,2012-07-10,reingreso
11710513,2012-07-10,aplazamiento
11711512,2012-07-10,reingreso
11711513,2012-07-10,reingreso
66406565,2012-07-10,aplazamiento
66511531,2012-07-10,aplazamiento
33109018,2012-07-11,reingreso
55511557,2012-07-11,reingreso
66106511,2012-07-11,aplazamiento
77203003,2012-07-11,reingreso
77311502,2012-07-11,aplazamiento
77411008,2012-07-11,reingreso
66311005,2012-07-12,reingreso
66508018,2012-07-12,reingreso
77201525,2012-07-12,reingreso
66108030,2012-07-13,reingreso
66409091,2012-07-13,aplazamiento
66409098,2012-07-13,aplazamiento
66409109,2012-07-13,reingreso
66409556,2012-07-13,aplazamiento
66411078,2012-07-13,reingreso
66411101,2012-07-13,aplazamiento
66412078,2012-07-13,aplazamiento
55212010,2012-07-16,aplazamiento
55310518,2012-07-16,aplazamiento
55312051,2012-07-16,aplazamiento
55512054,2012-07-16,aplazamiento
66111001,2012-07-16,aplazamiento
66212001,2012-07-16,aplazamiento
66403523,2012-07-16,aplazamiento
93711503,2012-07-17,reingreso
33104545,2012-07-18,reingreso
55102008,2012-07-18,reingreso
55510549,2012-07-18,reingreso
55511512,2012-07-18,reingreso
66409080,2012-07-18,aplazamiento
66410567,2012-07-18,aplazamiento
66411020,2012-07-18,aplazamiento
77104013,2012-07-18,reingreso
77106008,2012-07-18,reingreso
77209522,2012-07-18,aplazamiento
77211518,2012-07-18,reingreso
66212030,2012-07-19,aplazamiento
66408046,2012-07-19,aplazamiento
66408501,2012-07-19,aplazamiento
66411581,2012-07-23,aplazamiento
66507027,2012-07-23,aplazamiento
55310517,2012-07-24,reingreso
66512011,2012-07-24,aplazamiento
88107025,2012-07-24,aplazamiento
88108517,2012-07-24,aplazamiento
88112003,2012-07-24,aplazamiento
66109513,2012-07-25,aplazamiento
66409056,2012-07-25,aplazamiento
66409114,2012-07-25,aplazamiento
77201018,2012-07-25,reingreso
77209507,2012-07-25,aplazamiento
77210012,2012-07-25,aplazamiento
88110510,2012-07-26,aplazamiento
93211013,2012-07-26,reingreso
55311036,2012-07-30,aplazamiento
55509512,2012-07-30,aplazamiento
55510062,2012-07-30,aplazamiento
55511519,2012-07-30,aplazamiento
55512016,2012-07-30,aplazamiento
66411108,2012-07-30,aplazamiento
66510513,2012-07-30,aplazamiento
88112022,2012-07-30,aplazamiento
11101511,2012-07-31,reingreso
11312008,2012-07-31,aplazamiento
11410021,2012-07-31,aplazamiento
11709056,2012-07-31,aplazamiento
88108507,2012-07-31,aplazamiento
91610002,2012-07-31,reingreso
92612002,2012-07-31,aplazamiento
98407524,2012-07-31,reingreso
66411541,2012-08-01,aplazamiento
77207009,2012-08-01,aplazamiento
77210502,2012-08-01,aplazamiento
66410562,2012-08-02,aplazamiento
66411065,2012-08-02,aplazamiento
66111525,2012-08-03,aplazamiento
55112011,2012-08-06,aplazamiento
66408564,2012-08-06,aplazamiento
92411503,2012-08-06,aplazamiento
93912056,2012-08-06,aplazamiento
66412545,2012-08-08,aplazamiento
77312001,2012-08-08,aplazamiento
66408016,2012-08-13,aplazamiento
11195509,2012-08-14,reingreso
91610002,2012-08-14,reingreso
66112028,2012-08-15,aplazamiento
66408003,2012-08-21,aplazamiento
33103089,2012-08-22,aplazamiento
33107037,2012-08-22,aplazamiento
55511561,2012-08-27,aplazamiento
88212016,2012-08-29,aplazamiento
33104066,2012-08-30,aplazamiento
33109501,2012-08-30,aplazamiento
55111508,2012-09-10,aplazamiento
93912030,2012-09-10,aplazamiento
93711003,2012-09-18,aplazamiento
77412006,2012-09-26,aplazamiento
66511525,2012-10-01,reingreso
88109504,2012-10-01,aplazamiento
66410053,2012-10-11,reingreso
66412090,2012-10-19,aplazamiento
99509033,2012-10-19,reingreso
66511016,2012-10-23,reingreso
11411507,2012-10-30,reingreso
98400521,2012-10-30,reingreso
98400535,2012-10-30,reingreso
98405501,2012-10-30,reingreso
66507027,2012-11-02,reingreso
66108028,2012-11-06,reingreso
66305011,2012-11-08,reingreso
66111525,2012-11-09,reingreso
66408579,2012-11-13,reingreso
66409510,2012-11-13,aplazamiento
66504521,2012-11-13,reingreso
77209522,2012-11-14,reingreso
66408501,2012-11-15,reingreso
66403523,2012-11-19,reingreso
66412091,2012-11-19,reingreso
11409554,2012-11-20,reingreso
11608005,2012-11-20,reingreso
11609508,2012-11-20,reingreso
11710008,2012-11-20,aplazamiento
11710034,2012-11-20,reingreso
11710512,2012-11-20,reingreso
11710513,2012-11-20,aplazamiento
11711503,2012-11-20,reingreso
99607508,2012-11-20,reingreso
66409503,2012-11-21,reingreso
77108512,2012-11-21,reingreso
77210502,2012-11-21,reingreso
77212010,2012-11-21,reingreso
66410532,2012-11-23,reingreso
66111001,2012-11-26,reingreso
66111035,2012-11-26,reingreso
66310020,2012-11-26,reingreso
66409056,2012-11-26,reingreso
66411101,2012-11-26,reingreso
66412102,2012-11-26,reingreso
11710001,2012-11-27,aplazamiento
11711510,2012-11-27,aplazamiento
11712537,2012-11-27,aplazamiento
66110528,2012-11-27,reingreso
66409507,2012-11-27,aplazamiento
66409523,2012-11-27,aplazamiento
66411541,2012-11-27,reingreso
66504529,2012-11-27,reingreso
66507010,2012-11-27,aplazamiento
66209003,2012-11-28,reingreso
77104013,2012-11-28,reingreso
77104505,2012-11-28,reingreso
66209017,2012-11-29,aplazamiento
66311501,2012-11-29,reingreso
66410036,2012-11-29,aplazamiento
66504534,2012-11-29,reingreso
66107021,2012-11-30,reingreso
66110021,2012-11-30,reingreso
66310505,2012-11-30,reingreso
66511024,2012-11-30,aplazamiento
77212028,2012-11-30,reingreso
66311509,2012-12-03,reingreso
66407522,2012-12-03,aplazamiento
66408547,2012-12-03,aplazamiento
66409091,2012-12-03,reingreso
66409103,2012-12-03,reingreso
11705518,2012-12-04,reingreso
11709064,2012-12-04,aplazamiento
66406026,2012-12-05,reingreso
77104003,2012-12-05,reingreso
77111501,2012-12-05,aplazamiento
77112515,2012-12-05,aplazamiento
77209511,2012-12-05,aplazamiento
66410063,2012-12-06,aplazamiento
66310009,2012-12-10,reingreso
66411508,2012-12-10,aplazamiento
66508528,2012-12-10,reingreso
66112502,2012-12-11,aplazamiento
66409553,2012-12-11,aplazamiento
11310510,2012-12-12,reingreso
11711047,2012-12-12,reingreso
66409067,2012-12-12,aplazamiento
66409086,2012-12-12,aplazamiento
66410068,2012-12-12,aplazamiento
66411573,2012-12-12,reingreso
66508520,2012-12-12,aplazamiento
98412027,2012-12-12,reingreso
66109509,2012-12-14,reingreso
66411570,2012-12-14,reingreso
66411573,2012-12-14,reingreso
66411596,2012-12-14,aplazamiento
66310009,2012-12-17,reingreso
66312006,2012-12-17,aplazamiento
66405011,2012-12-17,aplazamiento
66410544,2012-12-17,reingreso
66411008,2012-12-17,aplazamiento
11411517,2012-12-18,reingreso
11711536,2012-12-18,aplazamiento
77209030,2012-12-19,reingreso
77209507,2012-12-19,reingreso
77412032,2012-12-19,reingreso
77211518,2012-12-21,reingreso
77212503,2012-12-21,aplazamiento
66109508,2012-12-27,reingreso
55111508,2013-01-14,reingreso
55111511,2013-01-14,reingreso
55311036,2013-01-14,reingreso
55510062,2013-01-14,reingreso
55511560,2013-01-14,reingreso
66107020,2013-01-14,aplazamiento
66308507,2013-01-14,reingreso
66407016,2013-01-14,aplazamiento
66408016,2013-01-14,reingreso
66408019,2013-01-14,aplazamiento
66411099,2013-01-14,aplazamiento
66507529,2013-01-14,aplazamiento
66509001,2013-01-14,reingreso
11312515,2013-01-15,aplazamiento
11411521,2013-01-15,aplazamiento
11609510,2013-01-15,reingreso
55111508,2013-01-15,reingreso
55111511,2013-01-15,reingreso
55510062,2013-01-15,reingreso
55511560,2013-01-15,reingreso
66612559,2013-01-16,aplazamiento
55106512,2013-01-17,reingreso
55311522,2013-01-17,reingreso
55312001,2013-01-17,aplazamiento
55511504,2013-01-17,reingreso
55511543,2013-01-17,reingreso
55711526,2013-01-17,reingreso
55711534,2013-01-17,reingreso
66507523,2013-01-17,aplazamiento
98709501,2013-01-17,reingreso
98709502,2013-01-17,reingreso
11705027,2013-01-18,reingreso
66405050,2013-01-18,reingreso
55107010,2013-01-19,reingreso
55211010,2013-01-19,aplazamiento
55510080,2013-01-19,reingreso
93911524,2013-01-19,reingreso
66111040,2013-01-21,aplazamiento
66112056,2013-01-21,aplazamiento
66309005,2013-01-21,aplazamiento
66407061,2013-01-21,aplazamiento
66409113,2013-01-21,aplazamiento
66409532,2013-01-21,aplazamiento
66410018,2013-01-21,aplazamiento
66410104,2013-01-21,aplazamiento
66411113,2013-01-21,aplazamiento
66412118,2013-01-21,aplazamiento
66503053,2013-01-21,aplazamiento
88212004,2013-01-21,aplazamiento
11291518,2013-01-22,reingreso
11409007,2013-01-22,reingreso
11409543,2013-01-22,reingreso
11411019,2013-01-22,aplazamiento
11597021,2013-01-22,reingreso
11704037,2013-01-22,reingreso
11709056,2013-01-22,reingreso
11709525,2013-01-22,aplazamiento
11711042,2013-01-22,aplazamiento
11711509,2013-01-22,aplazamiento
11711512,2013-01-22,aplazamiento
11711513,2013-01-22,aplazamiento
11912514,2013-01-22,aplazamiento
33104532,2013-01-22,reingreso
