PERIODO,COD_MAT,COD_DOCENTE
201210,33266,2332
201210,33302,4063
201210,33302,3133
201210,33303,1772
201210,33304,4129
201210,33304,4080
201210,33305,3183
201210,33306,3160
201210,33306,2934
201210,33306,52
201210,33307,3164
201210,33308,3180
201210,33309,4080
201210,33310,2398
201210,33311,2286
201210,33311,4003
201210,33312,3071
201210,33314,3071
201210,33314,4074
201210,33315,4039
201210,33315,4110
201210,33316,4074
201210,33316,3071
201210,33317,3199
201210,33318,4129
201210,33319,3180
201210,33320,3187
201210,33321,2506
201210,33403,2490
201210,33410,3147
201210,33410,3221
201210,33411,3147
201210,33412,1156
201210,55117,3073
201210,55118,1473
201210,55121,2798
201210,55134,1088
201210,55135,2357
201210,55139,3129
201210,55140,54
201210,55143,1755
201210,55145,857
201210,55146,7
201210,55147,3169
201210,55148,4083
201210,55148,3211
201210,55150,4084
201210,55151,4083
201210,55152,7
201210,55153,15
201210,55154,4084
201210,55157,17
201210,55158,857
201210,55159,3169
201210,55160,17
201210,55161,3129
201210,55203,1930
201210,55204,325
201210,55208,3172
201210,55209,1129
201210,55210,1397
201210,55210,1419
201210,55214,2815
201210,55216,174
201210,55218,1351
201210,55221,2572
201210,55227,1015
201210,55228,1092
201210,55229,804
201210,55234,233
201210,55236,1399
201210,55239,233
201210,55242,233
201210,55244,1092
201210,55250,1092
201210,55250,1351
201210,55251,225
201210,55256,1015
201210,55257,2572
201210,55258,1351
201210,55259,1015
201210,55261,42
201210,55301,3127
201210,55301,2534
201210,55302,176
201210,55302,95
201210,55303,1337
201210,55303,2468
201210,55304,4051
201210,55304,303
201210,55305,4040
201210,55305,3208
201210,55307,2482
201210,55307,2351
201210,55308,3127
201210,55309,3134
201210,55310,418
201210,55311,3127
201210,55312,2817
201210,55313,2550
201210,55314,2466
201210,55315,2927
201210,55315,2568
201210,55316,3151
201210,55317,3222
201210,55318,302
201210,55319,4052
201210,55320,4099
201210,55322,2798
201210,55323,1749
201210,55324,1716
201210,55325,129
201210,55326,303
201210,55328,3195
201210,55329,3107
201210,55330,2550
201210,55331,129
201210,55333,2468
201210,55334,2403
201210,55336,2468
201210,55337,2265
201210,55338,1473
201210,55339,4052
201210,55340,2085
201210,55341,2361
201210,55343,2085
201210,55344,1337
201210,55345,4052
201210,55346,2468
201210,55347,2085
201210,55347,1337
201210,55350,537
201210,55351,2550
201210,55352,3176
201210,55353,2265
201210,55354,2265
201210,55355,2403
201210,55357,1399
201210,55358,2268
201210,55359,1337
201210,55360,2265
201210,55361,2914
201210,55362,2550
201210,55501,3087
201210,55501,213
201210,55501,249
201210,55502,101
201210,55502,213
201210,55503,2925
201210,55503,2575
201210,55504,2536
201210,55504,1256
201210,55505,4040
201210,55506,17
201210,55506,2981
201210,55508,2482
201210,55510,2817
201210,55510,2940
201210,55511,1129
201210,55512,4051
201210,55513,2962
201210,55513,3002
201210,55514,3108
201210,55514,377
201210,55515,4099
201210,55516,2474
201210,55517,2817
201210,55518,3107
201210,55519,1270
201210,55520,219
201210,55521,3130
201210,55522,418
201210,55523,2531
201210,55524,2817
201210,55525,1716
201210,55527,539
201210,55527,552
201210,55528,3073
201210,55529,3171
201210,55530,3190
201210,55531,3019
201210,55532,2891
201210,55532,2840
201210,55533,4015
201210,55534,1518
201210,55537,586
201210,55538,2981
201210,55541,2981
201210,55542,7
201210,55543,3171
201210,55544,3129
201210,55547,2531
201210,55548,2531
201210,55549,3171
201210,55601,213
201210,55602,213
201210,55603,2927
201210,55603,2815
201210,55603,694
201210,55604,303
201210,55605,4040
201210,55606,2961
201210,55609,2512
201210,55610,3107
201210,55611,4052
201210,55612,3025
201210,55613,2466
201210,55614,3130
201210,55616,3195
201210,55617,1749
201210,55618,3019
201210,55619,150
201210,55620,4015
201210,55621,3126
201210,55625,325
201210,55626,1716
201210,55627,2961
201210,55628,3126
201210,55629,3107
201210,55630,2961
201210,55632,1749
201210,55633,4015
201210,55636,1399
201210,55637,3126
201210,55638,1399
201210,55640,2887
201210,55641,3166
201210,55642,3126
201210,55643,2961
201210,55644,3126
201210,55701,3056
201210,55701,3055
201210,55702,3055
201210,55702,3056
201210,55703,3167
201210,55704,4110
201210,55704,4039
201210,55705,2929
201210,55706,1518
201210,55706,54
201210,55707,3103
201210,55707,3162
201210,55707,1214
201210,55707,2351
201210,55708,3164
201210,55709,3160
201210,55709,52
201210,55709,2934
201210,55710,3133
201210,55710,3139
201210,55711,2268
201210,55712,3167
201210,55713,3136
201210,55713,3165
201210,55714,4050
201210,55715,3187
201210,55716,4090
201210,55717,3140
201210,55718,3135
201210,55719,3157
201210,55720,3199
201210,55721,2506
201210,55722,3165
201210,55722,3136
201210,55723,4050
201210,66102,101
201210,66103,2219
201210,66103,950
201210,66104,2575
201210,66107,2826
201210,66108,3208
201210,66109,351
201210,66110,397
201210,66110,4130
201210,66111,2920
201210,66112,2908
201210,66112,380
201210,66115,2927
201210,66117,2413
201210,66118,3108
201210,66119,2413
201210,66120,4099
201210,66122,2996
201210,66123,2501
201210,66124,3170
201210,66124,3064
201210,66125,2976
