PERIODO_COHORTE,PERIODO_ACADEMICO,CODIGO,TOT_MAT_INSCRITAS,CRED_INSCRITOS,MAT_APROBADAS,CRED_APROBADOS,ENTRY_YEAR,SEMESTRE,FECHA
201210,201210,11912009,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11912010,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11912011,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11912013,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11912014,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11912015,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11912016,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,11912019,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,11912020,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,11912021,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,11912022,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,33112012,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33112016,6,13,4,9,2012,semestre 1,2012-02-01
201210,201210,33112018,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33112024,6,12,1,2,2012,semestre 1,2012-02-01
201210,201210,33112025,7,15,3,5,2012,semestre 1,2012-02-01
201210,201210,33112026,7,15,5,10,2012,semestre 1,2012-02-01
201210,201210,33112029,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33112031,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33112050,7,15,2,3,2012,semestre 1,2012-02-01
201210,201210,33212006,8,15,7,13,2012,semestre 1,2012-02-01
201210,201210,33212008,0,0,0,0,2012,semestre 1,2012-02-01
201210,201210,33212018,8,15,7,13,2012,semestre 1,2012-02-01
201210,201210,33212024,8,15,7,13,2012,semestre 1,2012-02-01
201210,201210,33212039,8,15,6,11,2012,semestre 1,2012-02-01
201210,201210,33312003,7,15,3,5,2012,semestre 1,2012-02-01
201210,201210,33312006,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312009,7,15,5,11,2012,semestre 1,2012-02-01
201210,201210,33312010,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312013,7,15,2,3,2012,semestre 1,2012-02-01
201210,201210,33312015,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312023,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312025,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312026,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312027,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312029,7,15,0,0,2012,semestre 1,2012-02-01
201210,201210,33312030,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312038,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312039,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312040,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312041,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312048,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312050,6,14,6,14,2012,semestre 1,2012-02-01
201210,201210,33312053,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312058,0,0,0,0,2012,semestre 1,2012-02-01
201210,201210,33312061,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312062,7,15,5,10,2012,semestre 1,2012-02-01
201210,201210,33312064,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312068,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33312069,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33412001,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33412002,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33412003,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33412004,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33412008,7,15,4,9,2012,semestre 1,2012-02-01
201210,201210,33412010,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33412013,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33412015,7,15,5,11,2012,semestre 1,2012-02-01
201210,201210,33412017,0,0,0,0,2012,semestre 1,2012-02-01
201210,201210,33412019,7,15,5,11,2012,semestre 1,2012-02-01
201210,201210,33412020,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33412023,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,33412024,7,15,6,13,2012,semestre 1,2012-02-01
201210,201210,55112002,8,16,4,8,2012,semestre 1,2012-02-01
201210,201210,55112004,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55112005,6,17,5,15,2012,semestre 1,2012-02-01
201210,201210,55112006,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55112008,0,0,0,0,2012,semestre 1,2012-02-01
201210,201210,55112010,9,17,6,12,2012,semestre 1,2012-02-01
201210,201210,55112011,6,14,1,4,2012,semestre 1,2012-02-01
201210,201210,55212001,8,16,6,11,2012,semestre 1,2012-02-01
201210,201210,55212002,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55212003,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55212004,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55212005,9,16,5,9,2012,semestre 1,2012-02-01
201210,201210,55212006,8,16,5,10,2012,semestre 1,2012-02-01
201210,201210,55212007,8,15,6,12,2012,semestre 1,2012-02-01
201210,201210,55212008,8,16,4,7,2012,semestre 1,2012-02-01
201210,201210,55212009,8,16,0,0,2012,semestre 1,2012-02-01
201210,201210,55212011,8,16,3,5,2012,semestre 1,2012-02-01
201210,201210,55212012,0,0,0,0,2012,semestre 1,2012-02-01
201210,201210,55312001,8,16,5,10,2012,semestre 1,2012-02-01
201210,201210,55312002,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312003,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,55312004,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312005,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312006,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,55312007,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312008,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,55312010,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312012,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312013,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,55312014,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312016,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312017,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,55312019,8,16,5,10,2012,semestre 1,2012-02-01
201210,201210,55312020,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312021,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312022,8,16,0,0,2012,semestre 1,2012-02-01
201210,201210,55312024,7,14,6,12,2012,semestre 1,2012-02-01
201210,201210,55312029,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,55312030,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312032,8,16,5,10,2012,semestre 1,2012-02-01
201210,201210,55312035,8,16,5,10,2012,semestre 1,2012-02-01
201210,201210,55312036,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,55312037,7,16,7,16,2012,semestre 1,2012-02-01
201210,201210,55312039,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,55312040,7,14,7,14,2012,semestre 1,2012-02-01
201210,201210,55312042,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312044,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312046,8,16,5,10,2012,semestre 1,2012-02-01
201210,201210,55312049,8,16,4,8,2012,semestre 1,2012-02-01
201210,201210,55312051,8,16,4,8,2012,semestre 1,2012-02-01
201210,201210,55312052,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312053,8,16,6,11,2012,semestre 1,2012-02-01
201210,201210,55312055,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312057,8,16,4,7,2012,semestre 1,2012-02-01
201210,201210,55312058,8,16,6,11,2012,semestre 1,2012-02-01
201210,201210,55312059,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312061,8,16,6,11,2012,semestre 1,2012-02-01
201210,201210,55312062,8,16,6,11,2012,semestre 1,2012-02-01
201210,201210,55312063,8,16,5,9,2012,semestre 1,2012-02-01
201210,201210,55312064,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312065,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312066,8,16,5,10,2012,semestre 1,2012-02-01
201210,201210,55312067,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312068,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312069,8,16,4,7,2012,semestre 1,2012-02-01
201210,201210,55312070,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312071,7,16,5,11,2012,semestre 1,2012-02-01
201210,201210,55312072,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55312073,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,55312075,8,16,6,11,2012,semestre 1,2012-02-01
201210,201210,55312076,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,55512001,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512003,9,17,6,12,2012,semestre 1,2012-02-01
201210,201210,55512004,9,17,5,9,2012,semestre 1,2012-02-01
201210,201210,55512005,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512006,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512007,9,17,6,11,2012,semestre 1,2012-02-01
201210,201210,55512008,8,14,5,9,2012,semestre 1,2012-02-01
201210,201210,55512011,7,13,4,7,2012,semestre 1,2012-02-01
201210,201210,55512012,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512014,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512015,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512016,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512017,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512018,8,15,4,7,2012,semestre 1,2012-02-01
201210,201210,55512019,9,17,5,10,2012,semestre 1,2012-02-01
201210,201210,55512022,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512024,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512026,8,15,4,7,2012,semestre 1,2012-02-01
201210,201210,55512027,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512028,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512029,7,12,3,5,2012,semestre 1,2012-02-01
201210,201210,55512030,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512031,9,17,6,11,2012,semestre 1,2012-02-01
201210,201210,55512032,8,15,5,9,2012,semestre 1,2012-02-01
201210,201210,55512033,9,17,4,9,2012,semestre 1,2012-02-01
201210,201210,55512034,8,15,4,7,2012,semestre 1,2012-02-01
201210,201210,55512035,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512036,9,17,6,12,2012,semestre 1,2012-02-01
201210,201210,55512037,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512038,9,17,6,12,2012,semestre 1,2012-02-01
201210,201210,55512039,8,14,2,3,2012,semestre 1,2012-02-01
201210,201210,55512040,8,15,6,12,2012,semestre 1,2012-02-01
201210,201210,55512041,9,17,6,11,2012,semestre 1,2012-02-01
201210,201210,55512042,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512043,0,0,0,0,2012,semestre 1,2012-02-01
201210,201210,55512045,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512049,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512050,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512051,9,17,6,12,2012,semestre 1,2012-02-01
201210,201210,55512052,9,17,6,12,2012,semestre 1,2012-02-01
201210,201210,55512053,8,14,6,11,2012,semestre 1,2012-02-01
201210,201210,55512054,9,17,6,12,2012,semestre 1,2012-02-01
201210,201210,55512055,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512056,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512057,9,17,6,13,2012,semestre 1,2012-02-01
