COD_BASE,NOMBRE_MAT,COD_PRECO,NOMBRE_PRECORREQUISITO,TIPO_REQUISITO
11458,practica profesional,11404,contabilidad de pasivos,prerrequisito
11458,practica profesional,11405,expresion oral y escrita,prerrequisito
11458,practica profesional,11405,expresion oral y escrita,prerrequisito
11458,practica profesional,11406,deporte formativo,prerrequisito
11458,practica profesional,11406,deporte formativo,prerrequisito
11458,practica profesional,11407,formacion integral i,prerrequisito
11458,practica profesional,11407,formacion integral i,prerrequisito
11458,practica profesional,11408,calculo integral,prerrequisito
11458,practica profesional,11409,microeconomia,prerrequisito
11458,practica profesional,11409,microeconomia,prerrequisito
11458,practica profesional,11410,contabilidad basica,prerrequisito
11458,practica profesional,11410,contabilidad,prerrequisito
11458,practica profesional,11411,estadistica,prerrequisito
11458,practica profesional,11411,estadistica descriptiva,prerrequisito
11458,practica profesional,11412,legislacion comercial,prerrequisito
11458,practica profesional,11412,legislacion comercial,prerrequisito
11458,practica profesional,11413,teorias de la administracion,prerrequisito
11458,practica profesional,11413,administracion basica,prerrequisito
11458,practica profesional,11414,calculo,prerrequisito
11458,practica profesional,11414,calculo diferencial,prerrequisito
11458,practica profesional,11415,informatica basica,prerrequisito
11458,practica profesional,11416,contabilidad activos,prerrequisito
11458,practica profesional,11416,contabilidad financiera i,prerrequisito
11458,practica profesional,11417,ingles i,prerrequisito
11458,practica profesional,11417,ingles i,prerrequisito
11458,practica profesional,11418,ingles ii,prerrequisito
11458,practica profesional,11418,ingles ii,prerrequisito
11458,practica profesional,11419,macroeconomia,prerrequisito
11458,practica profesional,11419,macroeconomia,prerrequisito
11458,practica profesional,11420,formacion integral ii,prerrequisito
11458,practica profesional,11420,formacion integral ii,prerrequisito
11458,practica profesional,11421,herramientas de computacion,prerrequisito
11458,practica profesional,11422,electiva libre i,prerrequisito
11458,practica profesional,11422,electiva libre,prerrequisito
11458,practica profesional,11423,contabilidad superior,prerrequisito
11458,practica profesional,11423,contabilidad financiera avanzada,prerrequisito
11458,practica profesional,11424,contabilidad de costos de produccion,prerrequisito
11458,practica profesional,11424,contabilidad de costos,prerrequisito
11458,practica profesional,11425,inferencia estadistica,prerrequisito
11458,practica profesional,11426,epistemologia contable,prerrequisito
11458,practica profesional,11426,epistemologia contable,prerrequisito
11458,practica profesional,11427,electiva libre ii,prerrequisito
11458,practica profesional,11428,electiva complementaria i,prerrequisito
11458,practica profesional,11429,constitucion y formacion ciudadana,prerrequisito
11458,practica profesional,11429,constitucion y formacion ciudadana,prerrequisito
11458,practica profesional,11430,presupuestos,prerrequisito
11458,practica profesional,11430,planeacion y presupuestos,prerrequisito
11458,practica profesional,11431,contabilidad de costos servicios,prerrequisito
11458,practica profesional,11432,matematica financiera,prerrequisito
11458,practica profesional,11432,matematica financiera,prerrequisito
11458,practica profesional,11433,humanidades,prerrequisito
11458,practica profesional,11433,humanidades,prerrequisito
11458,practica profesional,11434,metodologia y practica de la investigacion,prerrequisito
11458,practica profesional,11434,metodologia y practica de la investigacion,prerrequisito
11458,practica profesional,11435,economia internacional,prerrequisito
11458,practica profesional,11435,economia internacional,prerrequisito
11458,practica profesional,11436,legislacion laboral,prerrequisito
11458,practica profesional,11436,legislacion laboral,prerrequisito
11458,practica profesional,11437,control interno y fiscal,prerrequisito
11458,practica profesional,11437,control interno y fiscal,prerrequisito
11458,practica profesional,11438,taller de gestion empresarial i,prerrequisito
11458,practica profesional,11439,problemas de contexto,prerrequisito
11458,practica profesional,11440,renta y complementario,prerrequisito
11458,practica profesional,11440,legislacion tributaria i,prerrequisito
11458,practica profesional,11441,sistemas de informacion contable,prerrequisito
11458,practica profesional,11441,software contable y financiero,prerrequisito
11458,practica profesional,11442,etica general,prerrequisito
11458,practica profesional,11442,etica general,prerrequisito
11458,practica profesional,11443,electiva complementaria interdisciplinaria,prerrequisito
11458,practica profesional,11443,electiva complementaria ii,prerrequisito
