CODIGO,PERIODO,ENTRY_YEAR,SEMESTRE,FECHA
55516008,201720,2017,semestre 2,2017-08-01
66411070,201720,2017,semestre 2,2017-08-01
66311028,201720,2017,semestre 2,2017-08-01
66414041,201720,2017,semestre 2,2017-08-01
66411536,201720,2017,semestre 2,2017-08-01
55113512,201720,2017,semestre 2,2017-08-01
55116008,201720,2017,semestre 2,2017-08-01
55713121,201720,2017,semestre 2,2017-08-01
55712614,201720,2017,semestre 2,2017-08-01
55713079,201720,2017,semestre 2,2017-08-01
66415544,201720,2017,semestre 2,2017-08-01
55515027,201720,2017,semestre 2,2017-08-01
55517534,201720,2017,semestre 2,2017-08-01
55513041,201720,2017,semestre 2,2017-08-01
55517523,201720,2017,semestre 2,2017-08-01
55514507,201720,2017,semestre 2,2017-08-01
55513540,201720,2017,semestre 2,2017-08-01
55516042,201720,2017,semestre 2,2017-08-01
55715001,201720,2017,semestre 2,2017-08-01
66212018,201720,2017,semestre 2,2017-08-01
55114006,201720,2017,semestre 2,2017-08-01
77117013,201720,2017,semestre 2,2017-08-01
55517537,201720,2017,semestre 2,2017-08-01
77116026,201720,2017,semestre 2,2017-08-01
55117518,201720,2017,semestre 2,2017-08-01
77208502,201720,2017,semestre 2,2017-08-01
77115526,201720,2017,semestre 2,2017-08-01
55512004,201720,2017,semestre 2,2017-08-01
55513502,201720,2017,semestre 2,2017-08-01
55517517,201720,2017,semestre 2,2017-08-01
55514042,201720,2017,semestre 2,2017-08-01
55517533,201720,2017,semestre 2,2017-08-01
55714577,201720,2017,semestre 2,2017-08-01
55514534,201720,2017,semestre 2,2017-08-01
55116019,201720,2017,semestre 2,2017-08-01
55512026,201720,2017,semestre 2,2017-08-01
55714044,201720,2017,semestre 2,2017-08-01
33114045,201720,2017,semestre 2,2017-08-01
55714021,201720,2017,semestre 2,2017-08-01
66411572,201720,2017,semestre 2,2017-08-01
55513519,201720,2017,semestre 2,2017-08-01
55715086,201720,2017,semestre 2,2017-08-01
55715071,201720,2017,semestre 2,2017-08-01
55113021,201720,2017,semestre 2,2017-08-01
55513535,201720,2017,semestre 2,2017-08-01
66115513,201720,2017,semestre 2,2017-08-01
66414540,201720,2017,semestre 2,2017-08-01
55511559,201720,2017,semestre 2,2017-08-01
55517039,201720,2017,semestre 2,2017-08-01
55514048,201720,2017,semestre 2,2017-08-01
55515041,201720,2017,semestre 2,2017-08-01
55516041,201720,2017,semestre 2,2017-08-01
77117509,201720,2017,semestre 2,2017-08-01
55513060,201720,2017,semestre 2,2017-08-01
55113012,201720,2017,semestre 2,2017-08-01
77115514,201720,2017,semestre 2,2017-08-01
33214036,201720,2017,semestre 2,2017-08-01
55715045,201720,2017,semestre 2,2017-08-01
55713059,201720,2017,semestre 2,2017-08-01
55514525,201720,2017,semestre 2,2017-08-01
55517504,201720,2017,semestre 2,2017-08-01
55512062,201720,2017,semestre 2,2017-08-01
77117004,201720,2017,semestre 2,2017-08-01
55514563,201720,2017,semestre 2,2017-08-01
33217515,201720,2017,semestre 2,2017-08-01
55514518,201720,2017,semestre 2,2017-08-01
77116501,201720,2017,semestre 2,2017-08-01
55715046,201720,2017,semestre 2,2017-08-01
55714035,201720,2017,semestre 2,2017-08-01
55714578,201720,2017,semestre 2,2017-08-01
77116049,201720,2017,semestre 2,2017-08-01
55513526,201720,2017,semestre 2,2017-08-01
55513051,201720,2017,semestre 2,2017-08-01
77117010,201720,2017,semestre 2,2017-08-01
55714067,201720,2017,semestre 2,2017-08-01
55513549,201720,2017,semestre 2,2017-08-01
55714052,201720,2017,semestre 2,2017-08-01
77116015,201720,2017,semestre 2,2017-08-01
66515002,201720,2017,semestre 2,2017-08-01
55117502,201720,2017,semestre 2,2017-08-01
55516046,201720,2017,semestre 2,2017-08-01
55514513,201720,2017,semestre 2,2017-08-01
55116505,201720,2017,semestre 2,2017-08-01
55117003,201720,2017,semestre 2,2017-08-01
55715010,201720,2017,semestre 2,2017-08-01
77116508,201720,2017,semestre 2,2017-08-01
77116004,201720,2017,semestre 2,2017-08-01
55712009,201720,2017,semestre 2,2017-08-01
55513546,201720,2017,semestre 2,2017-08-01
55714023,201720,2017,semestre 2,2017-08-01
66515006,201720,2017,semestre 2,2017-08-01
55516003,201720,2017,semestre 2,2017-08-01
77117021,201720,2017,semestre 2,2017-08-01
66415020,201720,2017,semestre 2,2017-08-01
55517518,201720,2017,semestre 2,2017-08-01
55116027,201720,2017,semestre 2,2017-08-01
55517532,201720,2017,semestre 2,2017-08-01
55713552,201720,2017,semestre 2,2017-08-01
77116506,201720,2017,semestre 2,2017-08-01
55714519,201720,2017,semestre 2,2017-08-01
55313519,201720,2017,semestre 2,2017-08-01
77117030,201720,2017,semestre 2,2017-08-01
55715036,201720,2017,semestre 2,2017-08-01
55512512,201720,2017,semestre 2,2017-08-01
55117501,201720,2017,semestre 2,2017-08-01
77116020,201720,2017,semestre 2,2017-08-01
55516516,201720,2017,semestre 2,2017-08-01
55517512,201720,2017,semestre 2,2017-08-01
66614516,201720,2017,semestre 2,2017-08-01
55717519,201720,2017,semestre 2,2017-08-01
33209009,201720,2017,semestre 2,2017-08-01
66514008,201720,2017,semestre 2,2017-08-01
55514088,201720,2017,semestre 2,2017-08-01
55514049,201720,2017,semestre 2,2017-08-01
55115016,201720,2017,semestre 2,2017-08-01
77116513,201720,2017,semestre 2,2017-08-01
55513523,201720,2017,semestre 2,2017-08-01
55117020,201720,2017,semestre 2,2017-08-01
55116507,201720,2017,semestre 2,2017-08-01
66417507,201720,2017,semestre 2,2017-08-01
55712543,201720,2017,semestre 2,2017-08-01
55517513,201720,2017,semestre 2,2017-08-01
55712502,201720,2017,semestre 2,2017-08-01
55117015,201720,2017,semestre 2,2017-08-01
77117521,201720,2017,semestre 2,2017-08-01
55516506,201720,2017,semestre 2,2017-08-01
55715062,201720,2017,semestre 2,2017-08-01
77116001,201720,2017,semestre 2,2017-08-01
55115011,201720,2017,semestre 2,2017-08-01
55513518,201720,2017,semestre 2,2017-08-01
55114501,201720,2017,semestre 2,2017-08-01
55715005,201720,2017,semestre 2,2017-08-01
66411526,201720,2017,semestre 2,2017-08-01
77117027,201720,2017,semestre 2,2017-08-01
55714514,201720,2017,semestre 2,2017-08-01
77116014,201720,2017,semestre 2,2017-08-01
55515015,201720,2017,semestre 2,2017-08-01
11817512,201810,2018,semestre 1,2018-02-01
66416143,201810,2018,semestre 1,2018-02-01
77317004,201810,2018,semestre 1,2018-02-01
33315518,201810,2018,semestre 1,2018-02-01
77414508,201810,2018,semestre 1,2018-02-01
66317503,201810,2018,semestre 1,2018-02-01
55514520,201810,2018,semestre 1,2018-02-01
33317520,201810,2018,semestre 1,2018-02-01
77217002,201810,2018,semestre 1,2018-02-01
66416014,201810,2018,semestre 1,2018-02-01
66616563,201810,2018,semestre 1,2018-02-01
77116519,201810,2018,semestre 1,2018-02-01
33116027,201810,2018,semestre 1,2018-02-01
66416134,201810,2018,semestre 1,2018-02-01
66316006,201810,2018,semestre 1,2018-02-01
77116014,201810,2018,semestre 1,2018-02-01
66417511,201810,2018,semestre 1,2018-02-01
55515022,201810,2018,semestre 1,2018-02-01
66616536,201810,2018,semestre 1,2018-02-01
55514514,201810,2018,semestre 1,2018-02-01
66616043,201810,2018,semestre 1,2018-02-01
66415568,201810,2018,semestre 1,2018-02-01
55316507,201810,2018,semestre 1,2018-02-01
11416010,201810,2018,semestre 1,2018-02-01
55714036,201810,2018,semestre 1,2018-02-01
55614011,201810,2018,semestre 1,2018-02-01
55714049,201810,2018,semestre 1,2018-02-01
66415090,201810,2018,semestre 1,2018-02-01
66416090,201810,2018,semestre 1,2018-02-01
55216007,201810,2018,semestre 1,2018-02-01
66415575,201810,2018,semestre 1,2018-02-01
33315024,201810,2018,semestre 1,2018-02-01
66417005,201810,2018,semestre 1,2018-02-01
66416584,201810,2018,semestre 1,2018-02-01
66616515,201810,2018,semestre 1,2018-02-01
66317004,201810,2018,semestre 1,2018-02-01
88216502,201810,2018,semestre 1,2018-02-01
66314013,201810,2018,semestre 1,2018-02-01
55614013,201810,2018,semestre 1,2018-02-01
66415006,201810,2018,semestre 1,2018-02-01
66417566,201810,2018,semestre 1,2018-02-01
66417001,201810,2018,semestre 1,2018-02-01
77415530,201810,2018,semestre 1,2018-02-01
66116520,201810,2018,semestre 1,2018-02-01
11816001,201810,2018,semestre 1,2018-02-01
33314049,201810,2018,semestre 1,2018-02-01
66415583,201810,2018,semestre 1,2018-02-01
66416091,201810,2018,semestre 1,2018-02-01
55517011,201810,2018,semestre 1,2018-02-01
66417142,201810,2018,semestre 1,2018-02-01
66117023,201810,2018,semestre 1,2018-02-01
55714011,201810,2018,semestre 1,2018-02-01
33114518,201810,2018,semestre 1,2018-02-01
55516530,201810,2018,semestre 1,2018-02-01
55215016,201810,2018,semestre 1,2018-02-01
55614010,201810,2018,semestre 1,2018-02-01
55612029,201810,2018,semestre 1,2018-02-01
66316017,201810,2018,semestre 1,2018-02-01
55314022,201810,2018,semestre 1,2018-02-01
77414016,201810,2018,semestre 1,2018-02-01
55316005,201810,2018,semestre 1,2018-02-01
66415066,201810,2018,semestre 1,2018-02-01
66614548,201810,2018,semestre 1,2018-02-01
33101593,201810,2018,semestre 1,2018-02-01
55416503,201810,2018,semestre 1,2018-02-01
55617008,201810,2018,semestre 1,2018-02-01
66413072,201810,2018,semestre 1,2018-02-01
66413036,201810,2018,semestre 1,2018-02-01
55514534,201810,2018,semestre 1,2018-02-01
66212018,201810,2018,semestre 1,2018-02-01
66615002,201810,2018,semestre 1,2018-02-01
55514512,201810,2018,semestre 1,2018-02-01
66416004,201810,2018,semestre 1,2018-02-01
55314527,201810,2018,semestre 1,2018-02-01
55315502,201810,2018,semestre 1,2018-02-01
66116029,201810,2018,semestre 1,2018-02-01
55617009,201810,2018,semestre 1,2018-02-01
55114017,201810,2018,semestre 1,2018-02-01
33315515,201810,2018,semestre 1,2018-02-01
66616546,201810,2018,semestre 1,2018-02-01
33114036,201810,2018,semestre 1,2018-02-01
55314522,201810,2018,semestre 1,2018-02-01
66614532,201810,2018,semestre 1,2018-02-01
55613511,201810,2018,semestre 1,2018-02-01
66616052,201810,2018,semestre 1,2018-02-01
66517005,201810,2018,semestre 1,2018-02-01
66415566,201810,2018,semestre 1,2018-02-01
66417117,201810,2018,semestre 1,2018-02-01
55714548,201810,2018,semestre 1,2018-02-01
66615027,201810,2018,semestre 1,2018-02-01
66417076,201810,2018,semestre 1,2018-02-01
88216030,201810,2018,semestre 1,2018-02-01
94316504,201810,2018,semestre 1,2018-02-01
66417024,201810,2018,semestre 1,2018-02-01
55514049,201810,2018,semestre 1,2018-02-01
33315524,201810,2018,semestre 1,2018-02-01
55315531,201810,2018,semestre 1,2018-02-01
77115032,201810,2018,semestre 1,2018-02-01
66514507,201810,2018,semestre 1,2018-02-01
66415103,201810,2018,semestre 1,2018-02-01
66417152,201810,2018,semestre 1,2018-02-01
55118015,201810,2018,semestre 1,2018-02-01
66416529,201810,2018,semestre 1,2018-02-01
66215011,201810,2018,semestre 1,2018-02-01
66416530,201810,2018,semestre 1,2018-02-01
55218009,201810,2018,semestre 1,2018-02-01
66117044,201810,2018,semestre 1,2018-02-01
33314520,201810,2018,semestre 1,2018-02-01
33315052,201810,2018,semestre 1,2018-02-01
88114502,201810,2018,semestre 1,2018-02-01
66515020,201810,2018,semestre 1,2018-02-01
66212503,201810,2018,semestre 1,2018-02-01
66417064,201810,2018,semestre 1,2018-02-01
33114042,201810,2018,semestre 1,2018-02-01
55516028,201810,2018,semestre 1,2018-02-01
66315008,201810,2018,semestre 1,2018-02-01
66412569,201810,2018,semestre 1,2018-02-01
77413042,201810,2018,semestre 1,2018-02-01
66114505,201810,2018,semestre 1,2018-02-01
55615511,201810,2018,semestre 1,2018-02-01
55510070,201810,2018,semestre 1,2018-02-01
77414526,201810,2018,semestre 1,2018-02-01
55616022,201810,2018,semestre 1,2018-02-01
66416128,201810,2018,semestre 1,2018-02-01
55216008,201810,2018,semestre 1,2018-02-01
33314057,201810,2018,semestre 1,2018-02-01
66416630,201810,2018,semestre 1,2018-02-01
33312008,201810,2018,semestre 1,2018-02-01
66116521,201810,2018,semestre 1,2018-02-01
66616535,201810,2018,semestre 1,2018-02-01
33313537,201810,2018,semestre 1,2018-02-01
66117518,201810,2018,semestre 1,2018-02-01
66416097,201810,2018,semestre 1,2018-02-01
66615003,201810,2018,semestre 1,2018-02-01
88213507,201810,2018,semestre 1,2018-02-01
66416119,201810,2018,semestre 1,2018-02-01
77317010,201810,2018,semestre 1,2018-02-01
33317015,201810,2018,semestre 1,2018-02-01
66116005,201810,2018,semestre 1,2018-02-01
66414006,201810,2018,semestre 1,2018-02-01
88116005,201810,2018,semestre 1,2018-02-01
66414016,201810,2018,semestre 1,2018-02-01
66417579,201810,2018,semestre 1,2018-02-01
77416036,201810,2018,semestre 1,2018-02-01
55715070,201810,2018,semestre 1,2018-02-01
66515009,201810,2018,semestre 1,2018-02-01
66417057,201810,2018,semestre 1,2018-02-01
66417556,201810,2018,semestre 1,2018-02-01
66615023,201810,2018,semestre 1,2018-02-01
66417032,201810,2018,semestre 1,2018-02-01
66417082,201810,2018,semestre 1,2018-02-01
55317018,201810,2018,semestre 1,2018-02-01
